player,perf_rating,conversion,steal,serve,return,forehand,backhand
Jannik Sinner,9.15,74.2,37.6,8.51,8.26,8.79,8.66
Carlos Alcaraz,8.76,72.4,38.0,7.98,7.87,8.88,8.14
Novak Djokovic,8.58,70.3,34.5,8.21,7.59,8.70,7.87
Alexander Zverev,8.45,70.0,32.7,8.73,7.30,8.01,8.05
Taylor Fritz,8.28,69.1,27.8,8.84,7.29,8.04,7.37
Daniil Medvedev,8.26,68.6,37.1,8.26,7.68,7.74,7.91
Lorenzo Musetti,8.13,69.8,34.5,7.85,7.21,8.58,7.64
Alexander Bublik,8.07,71.3,33.4,8.78,6.64,7.57,7.38
Jack Draper,8.04,70.2,31.9,8.21,6.94,7.91,7.68
Casper Ruud,8.03,69.4,33.8,8.10,6.94,8.08,7.68
Felix Auger-Aliassime,8.01,70.5,31.9,8.54,7.00,7.83,6.86
Arthur Fils,7.98,70.4,34.7,7.84,6.81,8.16,7.82
Valentin Vacherot,7.96,66.1,33.0,8.67,7.18,7.38,7.51
Sebastian Korda,7.90,69.6,32.0,8.44,6.94,7.81,7.21
Ben Shelton,7.88,68.3,28.8,8.89,6.74,7.34,6.98
Joao Fonseca,7.83,69.2,32.7,8.14,6.73,8.14,7.20
Francisco Cerundolo,7.80,67.7,36.6,7.54,7.27,8.21,7.22
Rafael Jodar,7.79,68.6,34.6,7.95,6.81,7.59,7.35
Tommy Paul,7.73,69.1,36.1,7.99,6.95,7.44,7.27
Alex de Minaur,7.72,69.4,36.7,7.54,7.09,7.58,7.33
Jakub Mensik,7.71,67.2,33.1,8.55,7.04,6.98,7.07
Brandon Nakashima,7.69,69.2,31.5,8.57,6.68,7.66,6.85
Jiri Lehecka,7.68,69.9,31.1,8.50,6.60,7.37,6.94
Karen Khachanov,7.66,68.6,29.2,8.20,6.82,7.33,7.32
Eliot Spizzirri,7.62,70.0,31.1,8.44,6.91,7.45,6.98
Luciano Darderi,7.62,66.4,31.9,7.92,7.00,8.04,6.96
Andrey Rublev,7.59,70.8,30.3,7.99,6.68,7.48,6.83
Tallon Griekspoor,7.58,69.6,30.6,8.42,6.43,7.35,6.85
Alejandro Tabilo,7.58,69.4,33.5,8.19,6.61,7.40,7.19
Jaume Munar,7.56,71.2,35.7,7.70,6.53,7.61,7.51
Holger Rune,7.55,70.3,36.2,7.85,6.38,7.42,7.45
Raphael Collignon,7.55,69.8,32.1,8.55,6.68,7.26,7.20
Alejandro Davidovich Fokina,7.55,67.4,36.0,7.62,6.94,7.06,7.50
Grigor Dimitrov,7.53,68.3,27.6,8.10,6.27,7.80,6.89
Tomas Machac,7.52,66.3,27.9,7.83,6.98,7.13,7.43
Tomas Martin Etcheverry,7.50,67.1,31.1,8.26,6.75,7.45,6.99
Ugo Humbert,7.49,67.3,28.9,8.01,6.37,7.43,7.14
Marin Cilic,7.46,69.3,27.0,8.38,6.35,7.41,6.75
Botic van de Zandschulp,7.45,70.7,36.2,7.84,6.74,7.62,7.13
Alexander Blockx,7.44,71.0,32.7,8.35,6.32,7.16,6.80
Hubert Hurkacz,7.44,68.7,31.2,9.01,6.68,6.55,6.38
Andrea Pellegrino,7.43,69.3,34.1,7.50,6.45,7.88,7.23
Miomir Kecmanovic,7.42,69.0,30.6,7.75,6.52,7.58,7.29
Arthur Rinderknech,7.42,67.9,29.1,8.68,6.48,6.90,6.33
Dino Prizmic,7.38,67.2,34.1,7.59,6.56,7.50,7.19
Frances Tiafoe,7.38,66.7,32.3,7.92,6.47,7.28,6.90
Denis Shapovalov,7.37,68.2,31.3,7.80,6.26,7.44,7.06
Titouan Droguet,7.37,67.5,34.8,8.53,6.40,7.38,6.08
Nikoloz Basilashvili,7.36,68.4,31.4,7.90,6.31,7.69,7.43
Alexei Popyrin,7.36,68.0,30.1,8.51,6.48,7.14,6.18
Marcos Giron,7.35,70.2,31.4,7.65,6.35,7.70,7.13
Alex Michelsen,7.35,67.7,31.4,7.85,6.75,6.96,6.96
Roberto Bautista Agut,7.33,69.6,31.3,7.39,6.32,7.95,6.97
Learner Tien,7.33,69.5,35.3,7.33,6.44,7.47,7.24
Gabriel Diallo,7.32,67.1,27.7,8.56,6.20,7.01,6.54
Cameron Norrie,7.31,68.2,34.5,7.65,6.34,7.31,6.94
Yannick Hanfmann,7.28,68.9,30.7,8.37,6.20,6.46,7.28
Kamil Majchrzak,7.27,68.1,33.2,7.88,6.50,7.12,6.92
Terence Atmane,7.27,67.5,30.9,8.08,6.04,7.54,6.80
Stefanos Tsitsipas,7.26,72.4,29.3,8.25,5.69,7.65,6.36
Martin Damm,7.26,68.0,26.7,8.80,5.96,6.24,6.20
Flavio Cobolli,7.26,67.4,33.1,7.70,6.51,7.31,6.90
Quentin Halys,7.24,67.0,28.6,8.42,6.39,7.14,6.20
Fabian Marozsan,7.23,68.8,27.2,7.69,6.55,7.10,7.04
Thiago Agustin Tirante,7.22,70.5,32.4,8.33,6.06,7.39,6.56
Giovanni Mpetshi Perricard,7.20,67.5,26.7,9.31,5.30,6.47,5.99
Corentin Moutet,7.19,70.4,36.7,6.94,6.23,7.84,6.94
Jan-Lennard Struff,7.14,67.3,28.1,8.26,6.26,6.66,6.65
Yibing Wu,7.12,68.1,28.4,7.68,5.89,7.34,7.20
Martin Landaluce,7.10,70.4,26.9,7.59,6.53,7.29,6.79
Jesper de Jong,7.09,71.4,33.1,7.96,6.37,7.13,6.48
Juan Manuel Cerundolo,7.09,67.7,35.6,7.33,6.46,7.67,6.61
Camilo Ugo Carabelli,7.08,66.7,33.9,7.50,6.12,7.62,6.87
Vit Kopriva,7.08,66.6,34.4,7.21,6.53,6.96,7.41
Zizou Bergs,7.07,66.8,30.0,7.90,6.10,7.11,6.42
Ethan Quinn,7.06,67.0,28.9,8.15,5.91,7.52,5.97
Francisco Comesana,7.06,67.0,32.4,8.19,5.86,7.01,6.58
Benjamin Bonzi,7.04,68.4,29.9,7.84,6.34,6.51,6.74
Jenson Brooksby,7.03,66.5,34.4,7.17,6.30,6.71,7.25
Ignacio Buse,7.03,66.3,34.0,7.76,6.19,7.10,6.80
Arthur Cazaux,7.00,66.1,30.1,8.52,6.00,6.52,6.51
Sebastian Baez,6.99,66.1,36.2,7.08,6.47,7.36,6.75
Nuno Borges,6.98,67.8,30.4,7.89,5.72,7.29,6.43
Gael Monfils,6.96,67.2,33.6,7.81,5.74,7.09,6.90
Roman Andres Burruchaga,6.95,69.8,34.5,7.52,6.00,6.87,6.84
Lorenzo Sonego,6.95,67.6,30.6,8.05,6.01,6.85,6.38
Daniel Altmaier,6.95,67.0,31.0,8.01,6.26,6.53,6.65
Aleksandar Kovacevic,6.94,68.5,28.2,8.22,5.69,7.08,6.39
Luca Nardi,6.93,68.1,31.6,7.58,5.68,7.11,7.18
Jacob Fearnley,6.88,70.1,30.6,7.15,5.82,7.38,6.83
Laslo Djere,6.85,67.7,28.5,7.98,6.15,7.04,6.28
Daniel Evans,6.84,68.4,35.4,7.02,5.40,7.40,7.26
Sebastian Ofner,6.83,66.4,24.1,8.13,5.63,6.64,6.80
Rinky Hijikata,6.81,68.5,33.2,7.52,5.71,6.93,6.46
Alexandre Muller,6.80,67.0,31.1,7.43,6.12,6.46,6.96
Mackenzie McDonald,6.76,68.6,32.9,7.62,5.62,6.99,6.22
Yoshihito Nishioka,6.64,66.4,33.3,6.90,5.65,6.71,7.18
Hugo Gaston,6.26,68.7,35.2,6.78,5.43,5.95,6.95
