tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
MEN,Adrian Mannarino,0.88,48.3,47.7,18.7,39.6,2.51,18.6
MEN,Albert Ramos,0.93,46.5,47.2,27.2,,4.32,18.7
MEN,Alejandro Davidovich Fokina,0.84,48.1,52.1,33.5,42.7,3.57,18.8
MEN,Aleksandar Vukic,1.26,47.8,47.4,25.3,,-1.14,16.1
MEN,Alex De Minaur,0.77,50.2,53.5,18.9,41.3,1.76,19.2
MEN,Alexander Bublik,1.20,49.3,48.9,58.3,38.1,-0.68,16.4
MEN,Alexander Shevchenko,1.06,44.6,42.5,26.9,,0.90,18.0
MEN,Alexander Zverev,1.04,51.4,48.7,24.8,37.1,-0.18,16.9
MEN,Alexandr Dolgopolov,1.02,,,19.9,,2.90,16.4
MEN,Alexei Popyrin,1.23,48.5,48.8,24.8,33.5,0.78,14.9
MEN,Aljaz Bedene,0.86,,,23.8,,2.89,18.3
MEN,Andre Agassi,0.99,,,17.8,,0.39,17.1
MEN,Andreas Seppi,0.74,47.7,,19.3,,2.43,19.8
MEN,Andrei Chesnokov,0.81,,,19.0,,0.66,19.5
MEN,Andrei Medvedev,0.91,,,19.3,,3.52,18.2
MEN,Andrey Rublev,1.19,50.8,52.8,14.0,36.9,-0.85,16.4
MEN,Andy Murray,0.91,49.9,46.3,24.9,36.9,0.91,18.0
MEN,Andy Roddick,1.24,,,17.2,,-2.36,15.5
MEN,Arthur Fils,0.90,50.2,52.8,17.3,41.5,1.88,20.2
MEN,Arthur Rinderknech,1.33,46.5,47.8,35.3,,-4.29,15.3
MEN,Aslan Karatsev,0.90,48.1,52.3,16.4,38.7,2.39,19.0
MEN,Ben Shelton,0.97,49.9,45.1,31.6,39.3,-0.75,17.2
MEN,Benoit Paire,0.92,46.0,46.5,36.3,,2.41,19.6
MEN,Bernard Tomic,1.14,45.2,49.2,25.9,,0.47,16.2
MEN,Bjorn Borg,0.82,,,26.0,,-0.56,20.4
MEN,Boris Becker,1.19,,,24.3,,-1.95,15.2
MEN,Borna Coric,0.82,46.5,50.9,28.8,,1.23,19.7
MEN,Botic Van De Zandschulp,0.85,49.8,50.2,32.1,37.8,2.37,17.7
