player,decider_W,decider_L,n,decider_win%
Abedallah Shelbayh,0,1,1,0
Adolfo Daniel Vallejo,1,0,1,100
Adrian Andreev,4,1,5,80
Adrian Mannarino,7,4,11,64
Albert Ramos,2,2,4,50
Alejandro Davidovich Fokina,8,10,18,44
Alejandro Tabilo,6,4,10,60
Aleksandar Kovacevic,1,2,3,33
Aleksandar Vukic,3,3,6,50
Aleksandre Metreveli,0,1,1,0
Alex De Minaur,15,18,33,45
Alex Michelsen,2,1,3,67
Alex Molcan,0,3,3,0
Alexander Blockx,1,0,1,100
Alexander Bublik,11,6,17,65
Alexander Cozbinov,0,1,1,0
Alexander Shevchenko,1,5,6,17
Alexander Zverev,21,22,43,49
Alexandre Muller,0,1,1,0
Alexei Popyrin,4,3,7,57
Alvaro Guillen Meza,1,1,2,50
Andreas Seppi,1,0,1,100
Andrej Martin,0,1,1,0
Andrey Rublev,25,13,38,66
Andy Murray,10,7,17,59
Antoine Bellier,1,0,1,100
Arklon Huertas Del Pino,1,0,1,100
Arthur Cazaux,0,2,2,0
Arthur Fils,11,6,17,65
Arthur Rinderknech,1,3,4,25
Aslan Karatsev,1,4,5,20
Attila Balazs,1,0,1,100
Beibit Zhukayev,0,1,1,0
Ben Shelton,3,10,13,23
Benjamin Bonzi,4,3,7,57
Benoit Paire,4,3,7,57
Bernabe Zapata Miralles,4,1,5,80
Bernard Tomic,1,0,1,100
Borna Coric,2,3,5,40
Botic Van De Zandschulp,19,16,35,54
Brandon Holt,0,1,1,0
Brandon Nakashima,3,8,11,27
Bruno Kuzuhara,1,0,1,100
Bu Yunchaokete,1,0,1,100
Cameron Norrie,6,6,12,50
Camilo Ugo Carabelli,5,0,5,100
Carlos Alcaraz,37,18,55,67
Carlos Taberner,1,1,2,50
Casper Ruud,19,14,33,58
Cem Ilkel,0,1,1,0
Christoph Negritu,0,1,1,0
Christopher Eubanks,0,5,5,0
Christopher Oconnell,3,3,6,50
Chun Hsin Tseng,1,0,1,100
Clement Chidekh,0,1,1,0
Coleman Wong,1,0,1,100
Conner Huertas Del Pino,0,1,1,0
Constant Lestienne,1,0,1,100
Corentin Moutet,3,4,7,43
Cristian Garin,1,5,6,17
Dalibor Svrcina,0,1,1,0
Daniel Altmaier,1,2,3,33
Daniel Elahi Galan,3,3,6,50
Daniel Evans,3,2,5,60
Daniil Medvedev,35,28,63,56
David Goffin,6,5,11,55
Denis Shapovalov,4,8,12,33
Dennis Novak,0,1,1,0
Diego Schwartzman,4,2,6,67
Dimitar Kuzmanov,0,1,1,0
Dino Prizmic,0,3,3,0
Dmitry Popko,0,2,2,0
Dominic Thiem,19,12,31,61
Dominik Koepfer,0,1,1,0
Duje Ajdukovic,0,1,1,0
Dusan Lajovic,1,2,3,33
Elmer Moller,1,0,1,100
Emil Ruusuvuori,6,8,14,43
Emilio Gomez,0,1,1,0
Emilio Nava,1,0,1,100
Enzo Couacaud,0,1,1,0
Ethan Quinn,0,1,1,0
Fabian Marozsan,4,2,6,67
Fabio Fognini,0,1,1,0
Facundo Bagnis,0,1,1,0
Federico Coria,2,2,4,50
Federico Delbonis,1,0,1,100
Federico Gaio,1,0,1,100
Feliciano Lopez,2,4,6,33
Felipe Meligeni Alves,0,2,2,0
Felix Auger Aliassime,9,9,18,50
Filip Krajinovic,0,1,1,0
Filip Misolic,1,0,1,100
Flavio Cobolli,3,1,4,75
Frances Tiafoe,6,1,7,86
Francesco Maestrelli,1,0,1,100
Francesco Passaro,0,1,1,0
Francisco Cerundolo,4,9,13,31
Gabriel Diallo,1,1,2,50
Gael Monfils,9,9,18,50
Gijs Brouwer,1,1,2,50
Gilles Arnaud Bailly,0,1,1,0
Gilles Simon,2,1,3,67
Giovanni Mpetshi Perricard,3,5,8,38
Gregoire Barrere,0,1,1,0
Grigor Dimitrov,16,5,21,76
Guy Den Ouden,1,1,2,50
Hamad Medjedovic,2,1,3,67
Harry Wendelken,1,0,1,100
Henri Squire,1,0,1,100
Holger Rune,10,13,23,43
Hubert Hurkacz,62,51,113,55
Hugo Gaston,2,2,4,50
Ilya Ivashka,0,2,2,0
J J Wolf,0,1,1,0
Jack Draper,2,6,8,25
Jacob Fearnley,2,0,2,100
Jaime Faria,2,0,2,100
Jakub Mensik,5,5,10,50
James Duckworth,0,2,2,0
Jan Choinski,0,1,1,0
Jan Kumstat,0,1,1,0
Jan Lennard Struff,3,5,8,38
Jannik Sinner,35,27,62,56
Jason Jung,0,1,1,0
Jason Kubler,0,1,1,0
Jaume Munar,1,10,11,9
Javier Barranco Cosano,1,0,1,100
Jelle Sels,0,1,1,0
Jenson Brooksby,4,2,6,67
Jerome Kym,0,1,1,0
Jesper De Jong,6,5,11,55
Jiri Lehecka,5,5,10,50
Jiri Vesely,1,0,1,100
Joao Fonseca,7,7,14,50
Joao Menezes,0,1,1,0
John Isner,2,3,5,40
