player,slice%,net%,drop%,TOTAL,slice_share%,tier
Adrian Mannarino,4.7,3.4,0.9,9.0,52,baseline
Agnieszka Radwanska,,,,,,not charted
Ajla Tomljanovic,,,,,,not charted
Albert Ramos,7.6,1.8,0.9,10.3,74,baseline
Alejandro Davidovich Fokina,9.2,3.1,2.7,15.0,61,baseline
Alejandro Tabilo,8.4,4.0,2.9,15.3,55,mild
Aleksandar Vukic,6.7,2.5,1.7,10.9,62,baseline
Alex Corretja,13.4,3.6,0.6,17.6,76,mild
Alex De Minaur,9.3,3.2,0.6,13.1,71,baseline
Alex Michelsen,7.6,5.9,1.7,15.1,50,mild
Alex Molcan,10.3,1.8,2.3,14.4,72,baseline
Alexander Bublik,16.9,7.0,6.2,30.2,56,DISRUPTOR
Alexander Shevchenko,8.2,2.7,1.5,12.4,66,baseline
Alexander Zverev,6.5,4.4,0.9,11.8,55,baseline
Alexandr Dolgopolov,9.3,3.0,1.6,13.9,67,baseline
Alexandra Eala,,,,,,not charted
Alexei Popyrin,13.6,6.5,1.0,21.1,64,DISRUPTOR
Aliaksandra Sasnovich,,,,,,not charted
Alison Riske Amritraj,,,,,,not charted
Alize Cornet,,,,,,not charted
Aljaz Bedene,6.9,1.9,1.7,10.5,66,baseline
Amanda Anisimova,,,,,,not charted
Amelie Mauresmo,,,,,,not charted
Ana Ivanovic,,,,,,not charted
Anastasia Myskina,,,,,,not charted
Anastasia Pavlyuchenkova,,,,,,not charted
Anastasia Potapova,,,,,,not charted
Anastasija Sevastova,,,,,,not charted
Andre Agassi,4.1,3.6,0.6,8.3,50,baseline
Andrea Petkovic,,,,,,not charted
Andreas Seppi,8.9,2.1,1.1,12.1,74,baseline
Andrei Chesnokov,3.9,3.1,0.1,7.1,55,baseline
Andrey Rublev,7.5,2.7,0.2,10.4,72,baseline
Andy Murray,11.9,3.1,1.5,16.5,72,mild
Andy Roddick,12.3,5.3,0.4,18.0,68,mild
Anett Kontaveit,,,,,,not charted
Angelique Kerber,,,,,,not charted
Anhelina Kalinina,,,,,,not charted
Anna Blinkova,,,,,,not charted
Anna Bondar,,,,,,not charted
Anna Kalinskaya,,,,,,not charted
Arantxa Rus,,,,,,not charted
Arantxa Sanchez Vicario,,,,,,not charted
Arianne Hartono,,,,,,not charted
Arnaud Clement,4.5,5.5,0.4,10.4,43,baseline
Arthur Cazaux,8.4,4.0,1.9,14.3,59,baseline
Arthur Fils,10.4,3.4,1.3,15.1,69,mild
Arthur Rinderknech,8.9,8.0,2.3,19.1,46,mild
Aryna Sabalenka,,,,,,not charted
Ashleigh Barty,,,,,,not charted
Ashlyn Krueger,,,,,,not charted
Aslan Karatsev,5.9,4.3,0.8,11.0,54,baseline
Barbora Krejcikova,,,,,,not charted
Beatriz Haddad Maia,,,,,,not charted
Belinda Bencic,,,,,,not charted
Ben Shelton,14.0,6.4,1.8,22.2,63,DISRUPTOR
Benoit Paire,7.7,6.3,3.9,17.8,43,mild
Bernard Tomic,9.5,2.3,1.1,12.8,74,baseline
Bianca Andreescu,,,,,,not charted
Bjorn Borg,5.1,6.6,0.0,11.8,44,baseline
Boris Becker,18.8,18.4,0.4,37.6,50,DISRUPTOR
Borna Coric,6.7,3.6,1.2,11.5,58,baseline
Botic Van De Zandschulp,12.0,3.9,1.8,17.7,68,mild
Brandon Nakashima,12.1,4.1,0.9,17.1,71,mild
Cameron Norrie,5.4,3.8,1.3,10.5,51,baseline
Camila Giorgi,,,,,,not charted
Camila Osorio,,,,,,not charted
Carla Suarez Navarro,,,,,,not charted
Carlos Alcaraz,9.8,4.8,3.0,17.6,56,mild
Carlos Moya,10.8,4.8,1.0,16.6,65,mild
Caroline Garcia,,,,,,not charted
Caroline Wozniacki,,,,,,not charted
Casper Ruud,12.4,3.7,1.1,17.3,72,mild
Cedric Pioline,12.2,11.6,0.3,24.1,51,DISRUPTOR
Chris Evert,,,,,,not charted
Christopher Oconnell,26.0,5.3,1.4,32.7,80,DISRUPTOR
Clara Tauson,,,,,,not charted
Coco Gauff,,,,,,not charted
Corentin Moutet,23.4,4.6,4.6,32.6,72,DISRUPTOR
Cristian Garin,4.9,3.6,1.4,9.8,50,baseline
Daniel Altmaier,19.5,5.0,1.0,25.5,77,DISRUPTOR
Daniel Elahi Galan,5.4,3.7,1.0,10.2,53,baseline
Daniel Evans,37.8,6.3,2.0,46.1,82,DISRUPTOR
Danielle Collins,,,,,,not charted
Daniil Medvedev,5.8,2.9,1.5,10.2,57,baseline
Daria Kasatkina,,,,,,not charted
Daria Saville,,,,,,not charted
David Ferrer,4.1,2.3,0.8,7.2,57,baseline
David Goffin,6.8,3.2,0.8,10.8,63,baseline
David Nalbandian,9.3,3.5,1.4,14.1,66,baseline
Dayana Yastremska,,,,,,not charted
Denis Shapovalov,10.5,5.6,1.2,17.3,61,mild
Diana Shnaider,,,,,,not charted
Diego Schwartzman,7.0,2.3,1.1,10.5,67,baseline
Dinara Safina,,,,,,not charted
Dominic Thiem,15.8,3.5,1.6,20.9,76,DISRUPTOR
Dominika Cibulkova,,,,,,not charted
Donna Vekic,,,,,,not charted
Dusan Lajovic,13.2,3.3,1.5,18.1,73,mild
