player,tour,steal_charting
Aaron Krickstein,m,30.5
Adrian Andreev,m,21.4
Adrian Mannarino,m,16.8
Adriano Panatta,m,58.1
Agnieszka Radwanska,w,43.1
Ajla Tomljanovic,w,25.9
Albert Costa,m,31.4
Albert Ramos,m,17.3
Alberto Berasategui,m,12.4
Alberto Mancini,m,21.2
Alejandro Davidovich Fokina,m,39.7
Alejandro Falla,m,22.6
Alejandro Tabilo,m,40.3
Aleksandar Kovacevic,m,19.3
Aleksandar Vukic,m,22.4
Aleksandra Krunic,w,54.5
Alessandro Giannessi,m,51.5
Alex Corretja,m,17.2
Alex De Minaur,m,17.0
Alex Michelsen,m,23.9
Alex Molcan,m,41.6
Alexander Blockx,m,28.5
Alexander Bublik,m,84.1
Alexander Shevchenko,m,25.6
Alexander Zverev,m,15.5
Alexandr Dolgopolov,m,22.2
Alexandra Eala,w,18.7
Alexandre Muller,m,23.0
Alexei Popyrin,m,24.1
Alexis Galarneau,m,29.4
Aliaksandra Sasnovich,w,37.9
Alina Charaeva,w,18.1
Alina Korneeva,w,32.6
Aliona Bolsova,w,44.0
Alison Riske Amritraj,w,19.3
Alison Van Uytvanck,w,33.1
Alize Cornet,w,43.8
Aljaz Bedene,m,24.7
Alvaro Guillen Meza,m,37.1
Alycia Parks,w,24.3
Amanda Anisimova,w,18.1
Amanda Coetzer,w,29.3
Amarissa Kiara Toth,w,37.3
Amelie Mauresmo,w,13.8
Amina Anshba,w,310.3
Ana Bogdan,w,19.7
Ana Ivanovic,w,22.4
Ana Konjuh,w,32.1
Anastasia Myskina,w,29.1
Anastasia Pavlyuchenkova,w,30.1
Anastasia Potapova,w,31.4
Anastasia Zakharova,w,12.3
Anastasija Sevastova,w,46.0
Andre Agassi,m,17.9
Andrea Gaudenzi,m,45.1
Andrea Petkovic,w,15.5
Andrea Vavassori,m,33.0
Andreas Haider Maurer,m,33.7
Andreas Seppi,m,19.4
Andrei Cherkasov,m,28.1
Andrei Chesnokov,m,23.1
Andrei Medvedev,m,24.8
Andrei Pavel,m,21.1
Andres Gomez,m,33.5
Andrey Golubev,m,16.3
Andrey Rublev,m,5.8
Andy Murray,m,34.0
Andy Roddick,m,11.7
Anett Kontaveit,w,20.9
Angelique Kerber,w,33.9
Anhelina Kalinina,w,52.0
Ann Li,w,11.1
Anna Blinkova,w,18.4
Anna Bondar,w,26.6
Anna Kalinskaya,w,32.0
Anna Karolina Schmiedlova,w,19.0
Anna Kournikova,w,23.1
Anna Lena Friedsam,w,25.7
Annika Beck,w,15.7
Anouk Koevermans,w,35.7
Antonia Ruzic,w,37.8
Arantxa Rus,w,22.0
Arantxa Sanchez Vicario,w,35.0
Arianne Hartono,w,11.1
Arina Rodionova,w,54.1
Arnaud Clement,m,12.8
Arthur Cazaux,m,35.0
Arthur Fils,m,16.4
Arthur Rinderknech,m,32.7
Aryna Sabalenka,w,30.5
Ashleigh Barty,w,31.3
Ashlyn Krueger,w,16.2
Aslan Karatsev,m,12.0
Astra Sharma,w,26.6
Attila Balazs,m,64.8
Barbara Schett,w,20.9
Barbora Krejcikova,w,25.5
Barbora Strycova,w,50.2
Beatriz Haddad Maia,w,20.8
Belinda Bencic,w,17.7
Ben Shelton,m,35.9
Benjamin Becker,m,8.7
Benjamin Bonzi,m,22.5
Benoit Paire,m,50.8
Bernabe Zapata Miralles,m,23.4
Bernard Tomic,m,18.1
Bernarda Pera,w,27.0
Bianca Andreescu,w,57.0
Bibiane Schoofs,w,36.5
Bjorn Borg,m,19.6
Blaz Kavcic,m,22.4
Boris Becker,m,21.8
Borna Coric,m,27.0
Botic Van De Zandschulp,m,33.6
Brad Gilbert,m,21.4
Brandon Nakashima,m,17.6
Brayden Schnur,m,12.2
Brenda Fruhvirtova,w,60.2
Bu Yunchaokete,m,9.4
Cameron Norrie,m,21.3
Camila Giorgi,w,1.9
Camila Osorio,w,56.5
Camilo Ugo Carabelli,m,36.6
Carina Witthoeft,w,12.1
Carla Suarez Navarro,w,12.1
Carlos Alcaraz,m,44.5
Carlos Berlocq,m,45.3
Carlos Moya,m,29.4
Carlos Taberner,m,19.4
Caroline Dolehide,w,24.3
