player,conv,steal,perform,serve,return,forehand,backhand
Adrian Mannarino,66.2,31.5,6.65,7.51,6.06,6.05,6.73
Alejandro Davidovich Fokina,66.9,35.7,7.59,7.71,6.87,7.16,7.59
Alejandro Tabilo,69.2,33.8,7.52,8.15,6.57,7.33,7.14
Aleksandar Kovacevic,68.6,28.5,6.93,8.23,5.63,7.19,6.32
Alex Michelsen,67.5,31.8,7.36,7.85,6.74,7.11,6.99
Alex de Minaur,69.4,36.9,7.71,7.51,7.03,7.56,7.39
Alexander Blockx,68.8,34,7.45,8.36,6.35,7.17,6.83
Alexander Bublik,71,33.1,7.93,8.73,6.52,7.45,7.27
Alexander Zverev,69.8,32.6,8.45,8.74,7.27,8.03,8
Alexandre Muller,66.90,30.80,6.8,7.43,6.12,6.46,6.96
Alexei Popyrin,67.7,30.2,7.33,8.54,6.49,7.07,6.21
Andrea Pellegrino,68.4,34.9,7.46,7.51,6.56,8,7.21
Andrey Rublev,70.9,30.5,7.57,7.98,6.58,7.57,6.79
Arthur Fils,70.4,34.7,7.98,7.84,6.81,8.16,7.82
Arthur Rinderknech,68.3,29.1,7.43,8.72,6.41,6.92,6.41
Ben Shelton,69,29.2,7.88,8.87,6.76,7.21,7.02
Benjamin Bonzi,68.4,32.1,7.15,7.8,6.35,6.85,6.84
Botic van de Zandschulp,69.8,35.8,7.45,7.86,6.75,7.61,7.08
Brandon Nakashima,68.1,31.9,7.7,8.55,6.79,7.63,6.89
Cameron Norrie,67.8,34.7,7.33,7.67,6.36,7.38,6.96
Camilo Ugo Carabelli,66.5,34.3,7.12,7.52,6.2,7.65,6.85
Carlos Alcaraz,71.9,38.1,8.8,7.95,8.02,8.85,8.2
Casper Ruud,69.6,34,8.04,8.11,6.96,8.07,7.68
Christopher O'Connell,67.1,34.6,6.81,7.75,5.46,7.17,6.52
Corentin Moutet,69.8,37.5,7.17,6.97,6.22,7.84,6.93
Daniel Altmaier,67.7,32,6.97,8.01,6.2,6.52,6.64
Daniel Evans,68.4,35.6,6.84,7.02,5.4,7.4,7.26
Daniil Medvedev,68.7,37.2,8.23,8.21,7.58,7.67,7.93
Denis Shapovalov,67.8,31.6,7.29,7.81,6.14,7.38,7.02
Dino Prizmic,67.3,34.3,7.4,7.6,6.58,7.46,7.21
Eliot Spizzirri,70,31.1,7.62,8.44,6.91,7.45,6.98
Ethan Quinn,69.1,29.5,7.14,8.2,5.96,7.44,5.99
Fabian Marozsan,68.7,27.6,7.26,7.72,6.53,7.15,7.01
Felix Auger-Aliassime,70.3,32.4,7.99,8.5,6.96,7.75,6.92
Flavio Cobolli,66.9,33.8,7.24,7.72,6.56,7.21,6.85
Frances Tiafoe,67.6,32.8,7.46,7.93,6.54,7.27,7
Francisco Cerundolo,68,36.6,7.83,7.52,7.26,8.25,7.26
Francisco Comesana,66.5,32.8,7.06,8.2,5.84,6.99,6.57
Gabriel Diallo,67.2,28,7.25,8.44,6.22,6.97,6.52
Gael Monfils,68.7,34.3,6.96,7.85,5.63,7.05,6.86
Giovanni Mpetshi Perricard,67.50,27.20,7.22,9.33,5.34,6.46,6
Grigor Dimitrov,69.1,28.6,7.4,7.94,5.99,7.85,6.85
Hamad Medjedovic,66.5,33.4,7.5,8.33,6.5,7.32,6.5
Holger Rune,70.1,36.9,7.57,7.9,6.35,7.44,7.47
Hubert Hurkacz,67.9,30.8,7.36,9.05,6.56,6.36,6.34
Hugo Gaston,69.7,37.4,6.25,6.79,5.42,6.01,6.78
Jack Draper,72.3,33.4,8.02,8.08,6.8,8.06,7.97
Jacob Fearnley,69,33.9,6.7,7.2,5.63,7.09,6.55
Jakub Mensik,67.1,33,7.73,8.57,7.08,6.99,7.08
James Duckworth,66.7,29.7,6.68,8,5.65,6.58,6.2
Jan-Lennard Struff,67.8,26.7,7.06,8.19,6.08,6.6,6.6
Jannik Sinner,74.2,37.7,9.16,8.51,8.26,8.82,8.66
Jaume Munar,70.5,35.9,7.5,7.77,6.58,7.52,7.36
Jenson Brooksby,66.6,34.4,7.01,7.17,6.32,6.68,7.22
Jesper de Jong,68,32,7.05,8.06,6.28,7.08,6.41
Jiri Lehecka,69.7,31.9,7.69,8.45,6.56,7.55,6.97
Joao Fonseca,68.2,31.7,7.78,8.13,6.68,8.09,7.17
Juan Manuel Cerundolo,69,34.4,7.14,7.39,6.43,7.75,6.66
Kamil Majchrzak,68.7,33,7.36,7.85,6.59,7.24,6.99
Karen Khachanov,68,29.3,7.59,8.19,6.78,7.24,7.27
Laslo Djere,66.40,30.90,6.85,7.98,6.15,7.04,6.28
Learner Tien,69.8,35.8,7.38,7.34,6.49,7.46,7.27
Lorenzo Musetti,69.8,34.5,8.13,7.85,7.21,8.58,7.64
Lorenzo Sonego,67.4,30,6.89,8.15,5.95,6.69,6.31
Luca Nardi,66.7,32.9,6.93,7.58,5.68,7.11,7.18
Luciano Darderi,66.2,31.8,7.63,7.93,7.01,8.02,6.96
Mackenzie McDonald,66.8,31.4,6.68,7.65,5.57,6.82,6.13
Marco Trungelliti,66.5,34.8,6.56,7.52,5.74,6.24,6.42
Marcos Giron,70.4,31.4,7.3,7.75,6.22,7.61,7.08
Marin Cilic,69.4,26.8,7.43,8.33,6.44,7.3,6.71
Martin Damm,67.7,27.5,7.13,8.66,5.89,6.29,6.05
Martin Landaluce,70.1,28.5,7.16,7.7,6.55,7.25,6.84
Marton Fucsovics,68.3,30.3,7.26,7.67,6.38,7.44,6.9
Miomir Kecmanovic,68.8,31.5,7.41,7.77,6.51,7.57,7.29
Nikoloz Basilashvili,66,31.5,7.36,7.89,6.31,7.72,7.37
Novak Djokovic,70.3,34.5,8.58,8.21,7.59,8.7,7.87
Nuno Borges,69.1,31.7,7.1,7.95,5.78,7.45,6.5
Pedro Martinez,66.5,35.5,6.34,6.84,5.83,6.72,6.44
Quentin Halys,68.9,28.9,7.23,8.42,6.3,7.19,6.23
Rafael Jodar,69.1,34.6,7.79,7.95,6.81,7.59,7.35
Raphael Collignon,70.2,34.3,7.7,8.68,6.58,7.48,7.18
Rinky Hijikata,67.8,33.3,6.97,7.54,5.9,7.18,6.62
Roberto Bautista Agut,68.3,33.6,7.16,7.34,6.2,7.66,6.88
Roman Andres Burruchaga,67.4,35.9,6.94,7.43,6.14,6.89,6.86
Sebastian Baez,66.6,36.7,7,7.11,6.44,7.37,6.71
Sebastian Korda,69.1,32.4,7.9,8.44,6.94,7.81,7.21
Sebastian Ofner,67.6,29.7,6.79,8.08,5.58,6.62,6.84
Sho Shimabukuro,66,34.5,6.86,7.91,5.76,6.86,6.51
Stefanos Tsitsipas,73.6,30.7,7.39,8.31,5.76,7.86,6.32
Tallon Griekspoor,68.4,30.3,7.53,8.41,6.47,7.36,6.78
Taylor Fritz,69,27.3,8.27,8.91,7.26,7.97,7.34
Terence Atmane,67.2,30.7,7.27,8.12,5.99,7.57,6.79
Thiago Agustin Tirante,69.9,33.3,7.25,8.24,6.08,7.48,6.57
Titouan Droguet,67.1,36,7.27,8.36,6.38,7.29,6.17
